customer_message,amazon_reply,intent,should_escalate,notes
Thank you @115821 for ruining my morning and making me late for class! 0/10 Customer service,@421351 Sorry to hear about the poor experience. Is there something we can help you with? ^MI,delivery_delay,no,Human-reviewed
@AmazonHelp Thanks. Yes I was promised delivery of an item today and this has not happened. I was then further informed item is lost and it was an urgent present. I then experienced very poor customer service via chat,@232300 We always strive for a great experience and I apologize that we haven't kept to that. What options were you given when you spoke with our customer service? ^FD,product_or_service_issue,no,Human-reviewed
2、3年前からアマゾンプライム会員なんだけど、アマゾンビデオが使えることを最近知った🗽,@320552 Amazonプライムでは様々な特典をご用意しておりますので、ぜひお楽しみください(*'▽') https://t.co/GuM6xCdw83 EK,other,no,Human-reviewed
@AmazonHelp No it was at the carrier facility. It's now saying a stop and return request has been actioned for the carrier to return the package,@450933 Please reach out to us here: https://t.co/JzP7hlA23B and we can look into it. ^PK,refund_or_return,no,Human-reviewed
@AmazonHelp What is the limit of your affirmative action? Why I am suffering? Why don't you punish Dculprit instead of making me more fool @71968,@218501 I understand your concern. Our team is working on it. We'll update. ^SG,other,no,Human-reviewed
@AmazonHelp HaHa... la gourmandise... un défaut que nous sommes nombreux à avoir :P A très bientôt alors :D ^^ https://t.co/uPyYa6TfRZ,"@790376 Je me prépare là, avec un petit peu de chance j'arriverai en même que les colis demain 😁😁. ^BR https://t.co/2AW43S9z4v",other,no,Human-reviewed
"Again big disappointed frm @115850, given Amazon pay Ballance offer during 4 to 7 Oct.
Now saying Ur product is not offer list https://t.co/7HciXB00Vb",@333357 Please don't provide your order details as we consider it personal information. Our twitter page is visible to public.(2/2) ^CB,product_or_service_issue,no,Human-reviewed
#KaroMilkeLateDelivery is the mantra of @115850 can say it with experience. They don't delivery at commmitted time &amp; give excuses https://t.co/6I4kO0jtRL,"@183457 shared here: https://t.co/NTkrxpsbHJ and reply to the email correspondence, we'll reach out. (2/2) ^KA",delivery_delay,no,Human-reviewed
"@115850  bought a mobile using city Bank credit card on oct6,17.I haven't received 10% cashback https://t.co/pcNXcNJHJN long does it take?","@187929 The cashback amount will be credited to your Amazon account in a form of Amazon pay balance by January 8, 2018. ^MA",other,no,Human-reviewed
@AmazonHelp Currently waiting on a call back from a UK manager.,@434620 Please reach out to us if you're still in need of assistance after speaking with one of our representatives. ^WM,other,no,Human-reviewed
@AmazonHelp https://t.co/TqNkEPeOc2,@268374 That's strange. Please reply to the email sent by our team with your concern and we'll have a look into it. 1/2 ^RS,other,no,Human-reviewed
@115850 Best of the Best Service and Support from Amazon. NEVER Disappoints,"@171435 Kartik, those are some kind words. Such lines makes our day. Thanks a bunch from team Amazon. ^CB",product_or_service_issue,no,Human-reviewed
@AmazonHelp Details attached as per your request and request you send me the book ASAP. https://t.co/ZygkF1sfvW,@162506 Please don’t provide your order details as it is personal information. Our page is visible to the public.2/2^HN,other,no,Human-reviewed
This is the third time #AmazonLogistics has “attempted delivery” of an item - lies (i was home all day) and then call to hang up and sent the delivery attempt text. @115821,"@374249 I'm sorry for the multiple issues with your delivery, Karena. We'd like to make sure Amazon Logistics investigates. Please send us your details here and we'll follow up: https://t.co/0D5FHzFGtL ^AM",product_or_service_issue,no,Human-reviewed
"@115830 my Echo is not working as advertised and the chat team are useless. Have even provided an incorrect contact number. I am so angry right now, please help.","@148037 Hi, I am very sorry to hear this. Can you share with us what you were advised when reaching out to us ? ^CR",other,no,Human-reviewed
@AmazonHelp Yes I am,"@518181 Oh no! Without giving any personal information, will you tell us more about what's going on? ^HC",other,no,Human-reviewed
"I really enjoy my @115821 echo dot, I actually have 2 now...but man, the app to manage them is atrocious!! https://t.co/fONCNt2tVP",@532881 Hey Michael; I'm sorry you're facing issues with the app.  Try these troubleshooting steps: https://t.co/1znPNXocAq ^KL,product_or_service_issue,no,Human-reviewed
"Can my god damn amazon package ship yet? I ordered it the 7th, 4 business days to ship. I ordered 5 things, 1 shipped separate and got today.",@685862 I'm sorry you haven't received your items yet! Have we missed the estimated delivery date for your order here: https://t.co/Y5jpI9gRhE?,other,no,Human-reviewed
"My kids and I witnessed an @115821 driver throw our package on the porch hard, then laugh about it. Livid!!!!!!","@241222 I'm so sorry this was your experience today. This is not what we want for our customers. I would like to get this addressed directly so please provide the requested information here: https://t.co/1Ge5qHOGDo
so we can get this resolved for you. ^BT",other,no,Human-reviewed
"@116928 Hola,el número de seguimiento que me facilitasteis no aparece en la compañía de envíos. ¿Podéis ayudarme? Gracias.","@812617 Hola. Espero que estés muy bien. 
¿Has contactado con el transportista para confirmar la información de seguimiento con ellos? ^DB",other,no,Human-reviewed
"@AmazonHelp Hi I'm wondering about this article https://t.co/3Y25abIUEp … I pre-ordered this, were you really selling this or it's fake?",@360288 1/2 I'm sorry for the concern. The product page has been updated here: https://t.co/XrUZukv3Zo,other,no,Human-reviewed
@AmazonHelp Of course. Your customer support is worthless.  Paying for PRIME is like flushing my money down the toilet these days.  I'm canceling.,@151670 I understand your frustration. Have we been missing the delivery dates given in your confirmation e-mail? ^GG,prime_or_subscription,no,Human-reviewed
"@AmazonHelp No, aún no, todavía sigo en proceso de despertar. Anoche me acosté tarde 😂",@169976 Si pudiéramos te enviamos desayuno también. Comida y juego nuevo es lo que necesitas para empezar el día ^AR,payment_or_price,no,Human-reviewed
"@AmazonHelp This is the kind of response which creates trust and respect. Kudos 👍🏻

It'll be much appreciated if you could make good on Thursday delivery. No problems even if not 😊👍🏻","@124791 Thanks for your kind words, Jainendra. I'd like inform you that we ship the products to meet the estimates. However, we will try our best we can in delivering the product to you. Appreciate your understanding. ^NK",product_or_service_issue,no,Human-reviewed
@AmazonHelp Why don't you have Suits season 6 all episodes? Only 10 available. No season 7 too,@481389 We will let you know when these episodes are back. We’re really sorry for the inconvenience caused. (2/2)^MN,other,no,Human-reviewed
@AmazonHelp Latest update is that it will be delivered Wednesday just gone....,"@129582 If the tracking info hasn't updated, the courier should be able to provide a re-delivery update: https://t.co/ORVJEfYbKp ^SD",delivery_missing,no,Human-reviewed
@115850 where is my order whoch i placed on ur global store... more than 20 days.. its still held by courier. I paid in full. https://t.co/dPUbAdCC6r,@119448 Sorry to know you haven't received your order yet. We certainly did not expect this to happen. 1/2 ^PS,other,no,Human-reviewed
"#AmazonBournvitaMaze
I am not sure but may be this just publicity students by @115850 and @100560 
No winner announcement till today",@736192 The winners will be announced on or before 10th December 2017. The winners will be contacted by email. Kindly stay tuned. ^AK,other,no,Human-reviewed
@AmazonHelp OnTrac. Thank you for the quick response!,@241588 Thanks for the info! We'd love to connect you to the carrier for inquiry. Please get in touch with us here: https://t.co/hApLpM3Ejd ^SH,other,no,Human-reviewed
"@AmazonHelp ""Sold by https://t.co/LQYgU4yBnA LLC""",@194093 You can check out available options by using the Online Retunrs Center here: https://t.co/4p4HwPguR2 ^GL,other,no,Human-reviewed
プライムビデオでモヤさまが見れるからわい歓喜の模様,@689155 ご利用ありがとうございます🙇　ごゆっくりお楽しみくださいませΣd(*`･∀･´*)　SM,other,no,Human-reviewed
Amazon Prime Music優秀,@533434 ありがとうございます。😊😊😊ET,prime_or_subscription,no,Human-reviewed
@AmazonHelp Como 500😂,@367381 ¡Dios mío! 😱 hemos encontrado nuestra fanática #1 en todo México 🎉. ^MB https://t.co/YsVV809s4u,other,no,Human-reviewed
