customer_message,true_intent,predicted_intent,reply,decision,reason
"@AmazonHelp Had to wait for 24hrs before they could do anything,due to “process”. This item has clearly been tampered with as well as being late. 2nd time this has happened in a month on prime. 1st time you delivered and empty box ????",delivery_missing,product_or_service_issue,"@654396 Thanks for the additional information, Mark! I'd like to have a member of my team look into this further. When you get a moment, could you please provide some additional details: https://t.co/gEJDP3Xj2v ^SW",auto_handle,Similar historical support cases were found.
"@115850 dear Amazon plz look into this , I haven’t received the same and Blue dart guys not picking phone https://t.co/C9k4dMWOV3",other,delivery_delay,@214834 I get your concern with the delivery of your order. Kindly connect with our team here: https://t.co/R3EfhzgU8B. ^PS,auto_handle,Similar historical support cases were found.
I need assistance for amazon Cashback @AmazonHelp,other,delivery_delay,"@454668 We'll certainly help you with it, Ravi. Could you please let us know which cashback you're referring to? ^SY",auto_handle,Similar historical support cases were found.
"@AmazonHelp No he recibido correos de Amazon, el domingo hice 2 pedidos (sin problema y con varios cargos aplicados) pero para nada se parece el cargo de hoy que es de 99 pesos",other,delivery_delay,"@279150 Daniel, ¿ A cuál sitio web de Amazon pertenece el cargo? ^DS",auto_handle,Similar historical support cases were found.
"Ordered Moto g5s+ on 29th Oct,delivery date given to me was 1st Nov.
Its 6th Nov &amp; still no update about the order
@AmazonHelp
#AmazonIndia",delivery_delay,delivery_delay,@509584 Sorry about that. Kindly connect with us here: https://t.co/vlvfJr4nN9 and we'll look into it. ^PB,auto_handle,Similar historical support cases were found.
"@AmazonHelp Hi, they told me to wait for dispatch and return it and go buy from @127894. As he is the supervisor and one step ABOVE customer service head office.",refund_or_return,refund_or_return,"@132436 I'm sorry for the trouble with the order! We don't have access to your account or it's details via Twitter, but we'd still like to help. Did you receive any e-mail regarding the warranty/coverage? ^TG",auto_handle,Similar historical support cases were found.
"wow, amazon charged me for this prime thingy like i knew i had it.",payment_or_price,payment_or_price,@491003 Sorry to hear. Have you since cancelled? You can do so here : http:https://t.co/a4Yc9lKczA Keep us posted.^TP,auto_handle,Similar historical support cases were found.
"やっと来た❤️❤️Amazon様様。
@112547 https://t.co/LMpa4z9r1z",other,delivery_delay,@552589 気に入っていただけて嬉しいニャ！🐱🐱🐱ET,auto_handle,Similar historical support cases were found.
So much for a discount !! Selling pirated copy of little bets @118919 @115821. Price tag of 499 and invoice of 671 !!! Pathetic https://t.co/88C7rpkzcB,payment_or_price,payment_or_price,"@787640 I get your query, there may be cases where M.R.P. of the product delivered is different from the M.R.P. given on the website due to various reasons including time lag in updating prices post changes in M.R.P., product belonging to 1/2 ^SH",auto_handle,Similar historical support cases were found.
"@AmazonHelp before I knock on my neighbour, which is it amazon? A note to correct the previous card would of been ideal... simple things. https://t.co/6KkcIA5WDD",other,delivery_delay,"@174809 I am so sorry for the troubles with your order, Phil! If you could, reach us by Phone or Chat: https://t.co/JzP7hlA23B ^FR",auto_handle,Similar historical support cases were found.
@AmazonHelp @115821 I already have. I shouldn't have to come to Twitter to get updates on this :(. Why is it taking two weeks to sort out my account?,account_or_login,account_or_login,@182227 Apologies Matan - when did you send the required info to the Account Specialists ? ^TD,auto_handle,Similar historical support cases were found.
"@AmazonHelp @AmazonHelp Hola, tengo una cuenta en Amazon y no puedo recuperar mi contraseña, este es mi correo: __email__",other,delivery_delay,"@518876 Por favor, contacta a nuestro Servicio al Cliente, a través de este enlace: https://t.co/YXpJe57seL (2/2) ^CR",auto_handle,Similar historical support cases were found.
Thank you @115821 for ruining my morning and making me late for class! 0/10 Customer service,delivery_delay,delivery_delay,@421351 Sorry to hear about the poor experience. Is there something we can help you with? ^MI,auto_handle,Similar historical support cases were found.
@AmazonHelp Thanks. Yes I was promised delivery of an item today and this has not happened. I was then further informed item is lost and it was an urgent present. I then experienced very poor customer service via chat,product_or_service_issue,product_or_service_issue,@232300 We always strive for a great experience and I apologize that we haven't kept to that. What options were you given when you spoke with our customer service? ^FD,auto_handle,Similar historical support cases were found.
2、3年前からアマゾンプライム会員なんだけど、アマゾンビデオが使えることを最近知った🗽,other,delivery_delay,"@216146 I'm sorry for the wait! We definitely don't want to let you down. Typically, late packages arrive within the next 1-2 business days. If it's not received tomorrow, please give us a call or chat to look into options: https://t.co/hApLpMlfHN ^KB",auto_handle,Similar historical support cases were found.
@AmazonHelp No it was at the carrier facility. It's now saying a stop and return request has been actioned for the carrier to return the package,refund_or_return,refund_or_return,@450933 Please reach out to us here: https://t.co/JzP7hlA23B and we can look into it. ^PK,auto_handle,Similar historical support cases were found.
@AmazonHelp What is the limit of your affirmative action? Why I am suffering? Why don't you punish Dculprit instead of making me more fool @71968,other,delivery_delay,@218501 I understand your concern. Our team is working on it. We'll update. ^SG,auto_handle,Similar historical support cases were found.
@AmazonHelp HaHa... la gourmandise... un défaut que nous sommes nombreux à avoir :P A très bientôt alors :D ^^ https://t.co/uPyYa6TfRZ,other,delivery_delay,"@790376 Je me prépare là, avec un petit peu de chance j'arriverai en même que les colis demain 😁😁. ^BR https://t.co/2AW43S9z4v",auto_handle,Similar historical support cases were found.
"Again big disappointed frm @115850, given Amazon pay Ballance offer during 4 to 7 Oct.
Now saying Ur product is not offer list https://t.co/7HciXB00Vb",product_or_service_issue,product_or_service_issue,@333357 Please don't provide your order details as we consider it personal information. Our twitter page is visible to public.(2/2) ^CB,auto_handle,Similar historical support cases were found.
#KaroMilkeLateDelivery is the mantra of @115850 can say it with experience. They don't delivery at commmitted time &amp; give excuses https://t.co/6I4kO0jtRL,delivery_delay,delivery_delay,"@183457 shared here: https://t.co/NTkrxpsbHJ and reply to the email correspondence, we'll reach out. (2/2) ^KA",auto_handle,Similar historical support cases were found.
"@115850  bought a mobile using city Bank credit card on oct6,17.I haven't received 10% cashback https://t.co/pcNXcNJHJN long does it take?",other,delivery_delay,"@187929 The cashback amount will be credited to your Amazon account in a form of Amazon pay balance by January 8, 2018. ^MA",auto_handle,Similar historical support cases were found.
@AmazonHelp Currently waiting on a call back from a UK manager.,other,delivery_delay,@434620 Please reach out to us if you're still in need of assistance after speaking with one of our representatives. ^WM,auto_handle,Similar historical support cases were found.
@AmazonHelp https://t.co/TqNkEPeOc2,other,delivery_delay,"@161017 We'd like to help the best we can! Without posting personal info, could you tell us more about what's going on? ^GL",auto_handle,Similar historical support cases were found.
@115850 Best of the Best Service and Support from Amazon. NEVER Disappoints,product_or_service_issue,product_or_service_issue,"@171435 Kartik, those are some kind words. Such lines makes our day. Thanks a bunch from team Amazon. ^CB",auto_handle,Similar historical support cases were found.
@AmazonHelp Details attached as per your request and request you send me the book ASAP. https://t.co/ZygkF1sfvW,other,delivery_delay,@162506 Please don’t provide your order details as it is personal information. Our page is visible to the public.2/2^HN,auto_handle,Similar historical support cases were found.
This is the third time #AmazonLogistics has “attempted delivery” of an item - lies (i was home all day) and then call to hang up and sent the delivery attempt text. @115821,product_or_service_issue,delivery_delay,"@374249 I'm sorry for the multiple issues with your delivery, Karena. We'd like to make sure Amazon Logistics investigates. Please send us your details here and we'll follow up: https://t.co/0D5FHzFGtL ^AM",auto_handle,Similar historical support cases were found.
"@115830 my Echo is not working as advertised and the chat team are useless. Have even provided an incorrect contact number. I am so angry right now, please help.",other,delivery_delay,"@148037 Hi, I am very sorry to hear this. Can you share with us what you were advised when reaching out to us ? ^CR",escalate,Sensitive or potentially high-risk issue.
@AmazonHelp Yes I am,other,delivery_delay,"@130485 If you're seeing it after, have you tried removing and re-adding the payment method? 2/2 ^NM",auto_handle,Similar historical support cases were found.
"I really enjoy my @115821 echo dot, I actually have 2 now...but man, the app to manage them is atrocious!! https://t.co/fONCNt2tVP",product_or_service_issue,product_or_service_issue,@532881 Hey Michael; I'm sorry you're facing issues with the app.  Try these troubleshooting steps: https://t.co/1znPNXocAq ^KL,auto_handle,Similar historical support cases were found.
"Can my god damn amazon package ship yet? I ordered it the 7th, 4 business days to ship. I ordered 5 things, 1 shipped separate and got today.",other,delivery_delay,@685862 I'm sorry you haven't received your items yet! Have we missed the estimated delivery date for your order here: https://t.co/Y5jpI9gRhE?,auto_handle,Similar historical support cases were found.
"My kids and I witnessed an @115821 driver throw our package on the porch hard, then laugh about it. Livid!!!!!!",other,delivery_delay,"@241222 I'm so sorry this was your experience today. This is not what we want for our customers. I would like to get this addressed directly so please provide the requested information here: https://t.co/1Ge5qHOGDo
so we can get this resolved for you. ^BT",auto_handle,Similar historical support cases were found.
"@116928 Hola,el número de seguimiento que me facilitasteis no aparece en la compañía de envíos. ¿Podéis ayudarme? Gracias.",other,delivery_delay,"@812617 Hola. Espero que estés muy bien. 
¿Has contactado con el transportista para confirmar la información de seguimiento con ellos? ^DB",auto_handle,Similar historical support cases were found.
"@AmazonHelp Hi I'm wondering about this article https://t.co/3Y25abIUEp … I pre-ordered this, were you really selling this or it's fake?",other,delivery_delay,@360288 1/2 I'm sorry for the concern. The product page has been updated here: https://t.co/XrUZukv3Zo,auto_handle,Similar historical support cases were found.
@AmazonHelp Of course. Your customer support is worthless.  Paying for PRIME is like flushing my money down the toilet these days.  I'm canceling.,prime_or_subscription,prime_or_subscription,@151670 I understand your frustration. Have we been missing the delivery dates given in your confirmation e-mail? ^GG,auto_handle,Similar historical support cases were found.
"@AmazonHelp No, aún no, todavía sigo en proceso de despertar. Anoche me acosté tarde 😂",payment_or_price,payment_or_price,@169976 Si pudiéramos te enviamos desayuno también. Comida y juego nuevo es lo que necesitas para empezar el día ^AR,auto_handle,Similar historical support cases were found.
"@AmazonHelp This is the kind of response which creates trust and respect. Kudos 👍🏻

It'll be much appreciated if you could make good on Thursday delivery. No problems even if not 😊👍🏻",product_or_service_issue,delivery_delay,"@124791 Thanks for your kind words, Jainendra. I'd like inform you that we ship the products to meet the estimates. However, we will try our best we can in delivering the product to you. Appreciate your understanding. ^NK",auto_handle,Similar historical support cases were found.
@AmazonHelp Why don't you have Suits season 6 all episodes? Only 10 available. No season 7 too,other,delivery_delay,@481389 We will let you know when these episodes are back. We’re really sorry for the inconvenience caused. (2/2)^MN,auto_handle,Similar historical support cases were found.
@AmazonHelp Latest update is that it will be delivered Wednesday just gone....,delivery_missing,delivery_delay,"@129582 If the tracking info hasn't updated, the courier should be able to provide a re-delivery update: https://t.co/ORVJEfYbKp ^SD",auto_handle,Similar historical support cases were found.
@115850 where is my order whoch i placed on ur global store... more than 20 days.. its still held by courier. I paid in full. https://t.co/dPUbAdCC6r,other,delivery_delay,@119448 Sorry to know you haven't received your order yet. We certainly did not expect this to happen. 1/2 ^PS,auto_handle,Similar historical support cases were found.
"#AmazonBournvitaMaze
I am not sure but may be this just publicity students by @115850 and @100560 
No winner announcement till today",other,delivery_delay,@736192 The winners will be announced on or before 10th December 2017. The winners will be contacted by email. Kindly stay tuned. ^AK,auto_handle,Similar historical support cases were found.
@AmazonHelp OnTrac. Thank you for the quick response!,other,delivery_delay,@241588 Thanks for the info! We'd love to connect you to the carrier for inquiry. Please get in touch with us here: https://t.co/hApLpM3Ejd ^SH,auto_handle,Similar historical support cases were found.
"@AmazonHelp ""Sold by https://t.co/LQYgU4yBnA LLC""",other,delivery_delay,@194093 You can check out available options by using the Online Retunrs Center here: https://t.co/4p4HwPguR2 ^GL,auto_handle,Similar historical support cases were found.
プライムビデオでモヤさまが見れるからわい歓喜の模様,other,delivery_delay,"@216146 I'm sorry for the wait! We definitely don't want to let you down. Typically, late packages arrive within the next 1-2 business days. If it's not received tomorrow, please give us a call or chat to look into options: https://t.co/hApLpMlfHN ^KB",auto_handle,Similar historical support cases were found.
Amazon Prime Music優秀,prime_or_subscription,prime_or_subscription,@533434 ありがとうございます。😊😊😊ET,auto_handle,Similar historical support cases were found.
@AmazonHelp Como 500😂,other,delivery_delay,@367381 ¡Dios mío! 😱 hemos encontrado nuestra fanática #1 en todo México 🎉. ^MB https://t.co/YsVV809s4u,auto_handle,Similar historical support cases were found.
